SeverityLevel,Tap Count,Time,Distance (pixels),Distance (cm),Formatted Distance,Start Position,Speed (cm/s)
0,1,0.7802588939666748,40.162171256046406,4.016217125604641,4.02 cm,"(314, 90)",16.042393949585062
0,2,1.0351061820983887,105.08092119885512,10.508092119885513,10.51 cm,"(295, 77)",21.441267193269177
0,3,1.5898120403289795,58.249463516842795,5.82494635168428,5.82 cm,"(268, 75)",12.278362286357526
0,4,2.0597589015960693,78.64477096412705,7.864477096412705,7.86 cm,"(286, 64)",16.768817379961707
0,5,2.556967258453369,127.12198865656563,12.712198865656564,12.71 cm,"(273, 85)",27.69246690725094
0,6,2.9937515258789062,78.33900688673555,7.833900688673555,7.83 cm,"(283, 107)",17.859856879914037
0,7,3.4231467247009277,53.85164807134504,5.385164807134505,5.39 cm,"(267, 143)",12.75389374938508
0,8,3.842099189758301,77.62087348130012,7.762087348130013,7.76 cm,"(264, 145)",20.01702734901322
0,9,4.271065950393677,168.1903683330291,16.819036833302913,16.82 cm,"(263, 150)",41.18907232306922
0,10,4.698795795440674,144.00347218036097,14.400347218036098,14.40 cm,"(280, 138)",33.264216145631266
0,11,5.103665351867676,201.51674868357716,20.151674868357716,20.15 cm,"(261, 155)",49.101419445812546
0,12,5.492140531539917,95.60334722173695,9.560334722173696,9.56 cm,"(257, 157)",23.42931824540313
0,13,5.891880989074707,50.15974481593781,5.015974481593782,5.02 cm,"(255, 163)",11.474551774942665
0,14,6.333466053009033,92.34717104492157,9.234717104492157,9.23 cm,"(266, 145)",21.663645057899092
0,15,6.759728670120239,45.5411901469428,4.5541190146942805,4.55 cm,"(256, 159)",11.092710807368915
0,16,7.18127179145813,97.52948272189288,9.752948272189288,9.75 cm,"(256, 155)",23.366959352184455
0,17,7.620484828948975,185.60711193270586,18.56071119327059,18.56 cm,"(245, 174)",44.278324859104075
0,18,8.010678768157959,46.17358552246078,4.6173585522460785,4.62 cm,"(255, 155)",10.993627712839444
